Gene Symbol,Bladder Count,Lung Count,Brain Count
AKR1C8P,0,0,0
AKR1D1,0,0,0
AKR1D1P1,0,0,0
AKR1E2,0,0,0
AKR7A2,0,0,0
AKR7A2P1,0,0,0
AKR7A3,0,0,0
AKR7L,0,0,0
AKT1,6,21,4
AKT1S1,0,0,0
AKT2,4,1,6
AKT3,2,1,3
AKT3-IT1,0,0,0
AKTIP,0,0,0
ALAD,0,0,0
ALAS1,0,0,0
ALAS2,0,0,0
ALB,8,0,0
ALCAM,2,0,0
ALDH1A1,8,1,0
ALDH1A2,0,0,0
ALDH1A3,2,0,0
ALDH1B1,0,0,0
ALDH1L1,0,0,0
ALDH1L1-AS1,0,0,0
ALDH1L1-AS2,0,0,0
ALDH1L2,0,0,0
ALDH2,16,1,0
ALDH3A1,0,0,0
ALDH3A2,0,0,1
ALDH3B1,0,0,0
ALDH3B2,0,0,0
ALDH4A1,0,0,0
ALDH5A1,0,0,0
ALDH6A1,0,0,0
ALDH7A1,0,0,0
ALDH7A1P1,0,0,0
ALDH7A1P2,0,0,0
ALDH7A1P3,0,0,0
ALDH7A1P4,0,0,0
ALDH8A1,0,0,0
ALDH9A1,0,0,0
ALDH16A1,0,0,0
ALDH18A1,0,0,0
ALDOA,0,0,0
ALDOAP1,0,0,0
ALDOAP2,0,0,0
ALDOB,0,0,0
ALDOC,0,0,0
ALG1,0,0,0
ALG1L,0,0,0
ALG1L2,0,0,0
ALG1L3P,0,0,0
ALG1L5P,0,0,0
ALG1L6P,0,0,0
ALG1L7P,0,0,0
ALG1L8P,0,0,0
ALG1L9P,0,0,0
ALG1L10P,0,0,0
ALG1L11P,0,0,0
ALG1L12P,0,0,0
ALG1L13P,0,0,0
ALG1L14P,0,0,0
ALG1L15P,0,0,0
ALG2,0,0,0
ALG3,0,0,0
ALG3P1,0,0,0
ALG5,0,0,0
ALG6,0,0,0
ALG8,0,0,0
ALG9,0,0,0
ALG9-IT1,0,0,0
ALG10,0,0,0
ALG10B,0,0,0
ALG11,0,0,0
ALG12,0,0,0
ALG13,0,0,0
ALG13-AS1,0,0,0
ALG14,0,0,0
ALK,26,148,24
ALKBH1,0,0,0
ALKBH2,2,0,0
ALKBH3,0,0,0
ALKBH3-AS1,0,0,0
ALKBH4,0,0,0
ALKBH5,0,0,0
ALKBH6,0,0,0
ALKBH7,0,0,0
ALKBH8,0,0,0
ALLC,0,0,0
ALMS1,0,0,0
ALMS1-IT1,0,0,0
ALMS1P,0,0,0
ALOX5,0,0,0
ALOX5AP,0,0,0
ALOX12,0,0,0
ALOX12-AS1,0,0,0
ALOX12B,0,0,0
ALOX12P1,0,0,0
ALOX12P2,0,0,0
ALOX15,0,0,3
ALOX15B,0,0,0
ALOX15P1,0,0,0
ALOX15P2,0,0,0
ALOXE3,0,0,0
ALOXE3P1,0,0,0
ALPI,0,0,0
ALPK1,0,0,0
ALPK2,0,0,0
ALPK3,0,0,0
ALPL,0,0,0
ALPP,8,0,0
ALPPL2,0,0,0
ALPPP,0,0,0
ALS2,0,0,0
ALS2CL,0,0,0
ALS2CR11,0,0,0
ALS2CR12,0,0,0
ALS3,0,0,0
ALS5,0,0,0
ALS7,0,0,0
ALX1,0,0,0
ALX3,0,0,0
ALX4,0,0,0
ALYREF,0,0,0
AMACR,8,0,0
AMBN,0,0,0
AMBP,8,0,0
AMBRA1,0,0,0
AMCN,0,0,0
AMD1,0,0,0
AMD1P1,0,0,0
AMD1P2,0,0,0
AMD1P3,0,0,0
AMD1P4,0,0,0
AMDHD1,0,0,0
AMDHD2,0,0,0
AMELX,0,0,0
AMELY,0,0,0
AMER1,0,0,0
AMER2,0,0,0
AMER3,0,0,0
AMFR,0,0,0
AMH,8,0,0
AMHR2,0,0,0
AMICA1,0,0,0
AMIGO1,0,0,0
AMIGO2,0,0,0
AMIGO3,0,0,0
AMLCR2,0,0,0
AMMECR1,0,0,0
AMMECR1-IT1,0,0,0
AMMECR1L,0,0,0
AMMECR1LP1,0,0,0
AMN,0,0,0
AMN1,0,0,0
AMOT,0,1,0
AMOTL1,0,0,0
AMOTL2,0,0,1
AMPD1,0,0,0
AMPD2,0,0,0
AMPD3,0,0,0
AMPH,0,0,0
AMT,0,0,0
AMTN,0,0,0
AMY1A,0,0,0
AMY1B,0,0,0
AMY1C,0,0,0
AMY2A,0,0,0
AMY2B,0,0,0
AMYP1,0,0,0
AMZ1,0,0,0
AMZ2,0,0,0
AMZ2P1,0,0,0
AMZ2P2,0,0,0
ANAPC1,0,0,0
ANAPC1P1,0,0,0
ANAPC2,0,0,0
ANAPC4,0,0,0
ANAPC5,0,0,0
ANAPC7,0,0,0
ANAPC10,0,0,0
ANAPC10P1,0,0,0
ANAPC11,0,0,0
ANAPC13,0,0,0
ANAPC15,0,0,0
ANAPC16,0,0,0
ANCR,0,0,0
ANG,32,1,0
ANGEL1,0,0,0
ANGEL2,0,0,0
ANGPT1,0,0,0
ANGPT2,0,1,0
ANGPT4,0,0,0
ANGPTL1,0,0,0
ANGPTL2,0,1,0
ANGPTL3,0,0,0
ANGPTL4,0,0,0
ANGPTL5,0,1,0
ANGPTL6,0,0,0
ANGPTL7,0,2,0
ANGPTL8,0,0,0
ANHX,0,0,0
ANIB1,0,0,0
ANIB2,0,0,0
ANIB3,0,0,0
ANIB4,0,0,0
ANK1,0,0,0
ANK2,0,1,0
ANK3,0,0,0
ANKAR,0,0,0
ANKDD1A,0,0,0
ANKDD1B,0,0,0
ANKEF1,0,0,0
ANKFN1,0,0,0
ANKFY1,0,0,0
ANKH,0,0,0
ANKHD1,0,0,0
ANKHD1-EIF4EBP3,0,0,0
ANKIB1,0,0,0
ANKK1,0,0,0
ANKLE1,0,0,0
ANKLE2,0,0,0
ANKMY1,0,0,0
ANKMY2,0,0,0
ANKRA2,0,0,0
ANKRD1,0,0,0
ANKRD2,0,0,0
ANKRD6,0,0,0
ANKRD7,0,0,0
ANKRD9,0,0,0
ANKRD10,0,0,0
ANKRD10-IT1,0,0,0
ANKRD11,0,0,0
ANKRD12,0,0,0
ANKRD13A,0,0,0
ANKRD13B,0,0,0
ANKRD13C,0,0,0
ANKRD13D,0,0,0
ANKRD16,0,0,0
ANKRD17,0,0,0
ANKRD18A,0,0,0
ANKRD18B,0,1,0
ANKRD18CP,0,0,0
ANKRD18DP,0,0,0
ANKRD18EP,0,0,0
ANKRD19P,0,0,0
ANKRD20A1,0,0,0
ANKRD20A2,0,0,0
ANKRD20A3,0,0,0
ANKRD20A4,0,0,0
ANKRD20A5P,0,0,0
ANKRD20A6P,0,0,0
ANKRD20A7P,0,0,0
ANKRD20A8P,0,0,0
ANKRD20A9P,0,0,0
ANKRD20A10P,0,0,0
ANKRD20A11P,0,0,0
ANKRD20A12P,0,0,0
ANKRD20A13P,0,0,0
ANKRD20A14P,0,0,0
ANKRD20A15P,0,0,0
ANKRD20A16P,0,0,0
ANKRD20A17P,0,0,0
ANKRD20A18P,0,0,0
ANKRD20A19P,0,0,0
ANKRD20A20P,0,0,0
ANKRD22,0,0,0
ANKRD23,0,0,0
ANKRD24,0,0,0
ANKRD26,0,0,0
ANKRD26P1,0,0,0
ANKRD26P2,0,0,0
ANKRD26P3,0,0,0
ANKRD26P4,0,0,0
ANKRD27,0,0,0
ANKRD28,0,0,0
ANKRD29,0,0,0
ANKRD30A,0,0,0
ANKRD30B,0,0,0
ANKRD30BL,0,0,0
ANKRD30BP1,0,0,0
ANKRD30BP2,0,0,0
ANKRD30BP3,0,0,0
ANKRD31,0,0,0
ANKRD33,0,0,0
ANKRD33B,0,0,0
ANKRD33B-AS1,0,0,0
ANKRD34A,0,0,0
ANKRD34B,0,0,0
ANKRD34C,0,0,0
ANKRD34C-AS1,0,0,0
ANKRD35,0,0,0
ANKRD36,0,0,0
